字段1,字段2,字段3
600111,更多参股新三板 ;稀缺资源 ;稀土整合 ;再生金属 ;MSCI概念 ;稀有金属 ;融资融券 ;沪股通 ;新材料概念 ;转融券标的 ;地方国资改革 ;小金属概念 ;稀土永磁,北方稀土
"600111,600111,600111,600111,600111,600111",,"北方稀土,北方稀土,北方稀土,北方稀土,北方稀土,北方稀土"
603322,智能表 ;物联网 ;5G ;边缘计算,超讯通信
"603322,603322,603322",,"超讯通信,超讯通信,超讯通信"
002549,更多洞庭湖生态经济区 ;碳交易 ;在线教育 ;人工降雨 ;节能环保 ;年报预增 ;机构重仓 ;氢能源,凯美特气
"002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549,002549",,"凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气,凯美特气"
600348,更多低碳 ;稀缺煤 ;融资融券 ;沪股通 ;转融券标的 ;煤层气 ;煤化工 ;地方国资改革 ;MSCI预期 ;证金持股 ;山西国资改革,阳泉煤业
"600348,600348,600348",,"阳泉煤业,阳泉煤业,阳泉煤业"
000830,更多三氯甲烷 ;甲醇 ;磷化工 ;抗旱 ;融资融券 ;生态农业 ;深股通 ;转融券标的 ;聚碳酸酯 ;乡村振兴 ;有机硅 ;尿素 ;地方国资改革 ;煤化工 ;化肥 ;MSCI预期 ;双氧水 ;证金持股,鲁西化工
"000830,000830,000830",,"鲁西化工,鲁西化工,鲁西化工"
300161,更多高端装备 ;武汉光谷 ;埃博拉概念 ;阿里巴巴概念 ;3D打印 ;职业教育 ;机床制造 ;高校 ;工业4.0 ;工业机器人 ;机器人概念 ;新能源汽车 ;工业互联网 ;数字孪生,华中数控
"300161,300161,300161,300161,300161,300161,300161",,"华中数控,华中数控,华中数控,华中数控,华中数控,华中数控,华中数控"
600971,更多油价上调 ;动力煤 ;融资融券 ;沪股通 ;转融券标的 ;安徽国资改革 ;地方国资改革 ;证金持股,恒源煤电
"600971,600971,600971",,"恒源煤电,恒源煤电,恒源煤电"
300409,更多锂矿 ;深股通 ;石墨烯 ;碳纳米管 ;锂电原料 ;正极材料 ;钴 ;锂电池 ;小金属概念 ;供应链金融,道氏技术
"300409,300409,300409,300409,300409,300409,300409,300409,300409,300409,300409,300409,300409,300409",,"道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术,道氏技术"
000713,更多早籼稻 ;玉米种业 ;棉 ;黄豆 ;普麦 ;强麦 ;晚籼稻 ;农业供给侧改革 ;超级稻 ;三农 ;粳稻 ;贸易战受益股 ;生物育种 ;化肥 ;地方国资改革 ;乡村振兴 ;转基因 ;年报预增 ;安徽国资改革 ;大豆 ;玉米 ;草甘膦 ;一带一路 ;农村电商,丰乐种业
"000713,000713,000713,000713,000713,000713",,"丰乐种业,丰乐种业,丰乐种业,丰乐种业,丰乐种业,丰乐种业"
600536,更多智慧党建 ;去IOE ;央企控股 ;智能终端 ;云服务 ;电子信息 ;透明计算 ;融资融券 ;沪股通 ;核高基 ;转融券标的 ;云计算 ;网络安全 ;国产软件 ;中字头股票 ;央企国资改革 ;腾讯概念 ;智慧城市 ;证金持股,中国软件
"600536,600536,600536,600536,600536,600536,600536",,"中国软件,中国软件,中国软件,中国软件,中国软件,中国软件,中国软件"
002577,更多百度概念 ;手势识别 ;王者荣耀 ;体感交互 ;融资融券 ;转融券标的 ;机器人概念 ;无人机 ;无线充电,雷柏科技
002577,,雷柏科技
